"consumer_id";"devices_count";"frequency";"recency";"monetary"
12510237;2;"9.25";"11.5";"1873.21428572"
12510242;1;"84.5";"2.0";"2678.57142858"
12510360;2;"57.0";"3.0";"1873.21428572"
12510361;2;"66.5";"3.0";"1873.21428572"
12510364;1;"49.0";"15.5";"2321.42857143"
12510377;4;"81.875";"2.875";"6675.000000013333"
12510427;2;"18.25";"32.0";"2678.57142858"
12510433;2;"33.75";"6.25";"1873.21428572"
12510434;3;"3.1666666666666665";"2.5";"1873.21428572"
12510479;1;"45.0";"6.5";"936.60714286"
12510512;2;"6.75";"58.5";"1902.976190483333"
12510550;2;"10.0";"4.0";"2321.42857142"
12510566;2;"57.25";"3.75";"1873.21428572"
12510574;1;"3.5";"20.5";"2321.42857143"
12510590;2;"15.5";"12.0";"2321.42857142"
12510638;2;"70.0";"3.25";"2857.1428571400006"
12510644;2;"64.5";"2.0";"2355.6547618966665"
12510660;1;"25.0";"36.0";"2421.273809526667"
12510687;2;"90.0";"2.0";"2829.36309525"
12510717;1;"53.5";"35.0";"1873.22321429"
12510725;2;"62.5";"3.0";"2321.42857142"
12510744;2;"68.5";"3.0";"2687.5000000100003"
12510763;1;"45.0";"2.0";"1873.22321429"
12510773;2;"87.0";"2.0";"2321.42857142"
12510785;1;"13.0";"71.5";"1873.22321429"
12510807;2;"68.25";"3.0";"1873.21428572"
12510811;2;"78.75";"2.0";"1873.21428572"
12510818;3;"81.33333333333333";"2.1666666666666665";"3074.70238096"
12510844;1;"81.5";"2.0";"2321.42857143"
12510847;2;"71.75";"2.5";"1873.21428572"
12510849;1;"83.0";"2.0";"2321.42857142"
12510865;1;"58.0";"2.5";"2678.57142857"
12510902;2;"79.0";"2.5";"2321.42857142"
12510908;1;"47.0";"4.0";"1064.28571429"
12510916;2;"7.0";"33.25";"1873.21428572"
12510931;1;"68.5";"4.0";"2321.42857143"
12510936;2;"58.5";"2.5";"2678.57142858"
12510991;2;"45.0";"2.5";"1873.21428572"
12511005;4;"69.0";"2.5";"4642.85714284"
12511031;5;"35.4";"12.3";"2029.5238095266668"
12511035;2;"83.75";"2.25";"2321.42857142"
12511040;2;"79.0";"2.5";"2321.42857142"
12511041;2;"59.0";"7.25";"1873.21428572"
12511070;1;"27.0";"14.0";"1873.21428572"
12511080;1;"1.0";"17.0";"2321.42857143"
12511082;1;"83.5";"2.0";"2321.42857143"
12511107;1;"49.5";"3.5";"1873.22321429"
12511114;2;"31.75";"15.5";"1873.21428572"
12511116;2;"39.5";"8.25";"1873.21428572"
12511122;2;"83.25";"2.0";"2678.57142858"
12511134;2;"50.0";"2.5";"2093.8154761933333"
12511136;1;"66.5";"2.0";"2321.42857142"
12511141;2;"49.5";"4.25";"1873.21428572"
12511146;1;"59.0";"2.5";"1873.22321429"
12511165;1;"76.0";"2.0";"1873.22321429"
12511177;2;"61.75";"2.0";"2321.42857142"
12511178;2;"71.25";"2.75";"2321.42857142"
12511181;2;"41.75";"2.5";"1873.21428572"
12511202;2;"70.25";"2.25";"2745.773809526667"
12511237;2;"64.5";"2.0";"3482.1428571400006"
12511240;2;"40.75";"3.0";"2678.57142858"
12511264;1;"89.5";"2.0";"2019.0565476233328"
12511279;2;"89.5";"2.0";"3154.761904753333"
12511304;1;"79.5";"2.5";"2321.42857143"
12511311;2;"33.25";"23.0";"2678.57142858"
12511312;2;"51.5";"8.25";"1873.21428572"
12511325;1;"36.5";"32.5";"2678.57142857"
12511333;1;"16.5";"16.5";"1873.21428572"
