id,original_id,name,path,type,parent_id
1,1,Карагандинская область,Карагандинская область,region,
2,84,г.Караганда,Карагандинская область > г.Караганда,district,1.0
3,5792,г.Караганда,Карагандинская область > г.Караганда > г.Караганда,town,2.0
4,88766,99АРХИВ_731,Карагандинская область > г.Караганда > г.Караганда > 99АРХИВ_731,street,3.0
5,88086,737,Карагандинская область > г.Караганда > г.Караганда > 737,street,3.0
6,88089,99АРХИВ_727,Карагандинская область > г.Караганда > г.Караганда > 99АРХИВ_727,street,3.0
7,88999,721,Карагандинская область > г.Караганда > г.Караганда > 721,street,3.0
8,89777,99АРХИВ_724,Карагандинская область > г.Караганда > г.Караганда > 99АРХИВ_724,street,3.0
9,89240,711,Карагандинская область > г.Караганда > г.Караганда > 711,street,3.0
10,88600,99АРХИВ_735,Карагандинская область > г.Караганда > г.Караганда > 99АРХИВ_735,street,3.0
11,95792,"1, ул. Муканова","Карагандинская область > г.Караганда > г.Караганда > 1, ул. Муканова",street,3.0
12,95793,"55, ул. Муканова","Карагандинская область > г.Караганда > г.Караганда > 55, ул. Муканова",street,3.0
13,106936,"43, ул. Муканова","Карагандинская область > г.Караганда > г.Караганда > 43, ул. Муканова",street,3.0
14,86496,КВАРТАЛЬНЫЙ,Карагандинская область > г.Караганда > г.Караганда > КВАРТАЛЬНЫЙ,street,3.0
15,86497,КОПЕРНИКА,Карагандинская область > г.Караганда > г.Караганда > КОПЕРНИКА,street,3.0
16,86498,КУЗНЕЧНЫЙ,Карагандинская область > г.Караганда > г.Караганда > КУЗНЕЧНЫЙ,street,3.0
17,86537,ПРОТОЧНЫЙ,Карагандинская область > г.Караганда > г.Караганда > ПРОТОЧНЫЙ,street,3.0
18,86538,ПУТЕВОЙ,Карагандинская область > г.Караганда > г.Караганда > ПУТЕВОЙ,street,3.0
19,86548,РЫЛЕЕВА,Карагандинская область > г.Караганда > г.Караганда > РЫЛЕЕВА,street,3.0
20,86570,99АРХИВ_УГОЛЬНЫЙ,Карагандинская область > г.Караганда > г.Караганда > 99АРХИВ_УГОЛЬНЫЙ,street,3.0
21,86572,УРАНОВЫЙ,Карагандинская область > г.Караганда > г.Караганда > УРАНОВЫЙ,street,3.0
