id,created_at,updated_at,street_id,city_id,street_kladr,street_type_id,street_type_full,street_type_short,name
485,2020-09-03T10:26:20.338Z,2022-11-15T12:48:28.642847Z,67,1,200000000067,13,микрорайон,мкр.,10-й микрорайон
1046,2020-09-03T10:26:20.446Z,2022-11-15T12:48:28.809645Z,309,1,200000000309,13,микрорайон,мкр.,11-й микрорайон
483,2020-09-03T10:26:20.338Z,2022-11-15T12:48:28.863923Z,65,1,200000000065,13,микрорайон,мкр.,12-й микрорайон
2416,2024-10-22T05:50:25.006590Z,2024-10-22T05:50:25.006120Z,50445,1,200000050445,13,микрорайон,мкр.,20-й микрорайон
1171,2020-09-03T10:26:20.446Z,2020-09-03T10:26:20.446Z,515,1,200000000515,6,улица,ул.,20 Линия
945,2020-09-03T10:26:20.409Z,2020-09-03T10:26:20.409Z,259,1,200000000259,6,улица,ул.,24 Июня
1075,2020-09-03T10:26:20.446Z,2022-11-15T12:48:28.953651Z,341,1,200000000341,13,микрорайон,мкр.,2-й микрорайон
477,2020-09-03T10:26:20.338Z,2022-11-15T12:48:30.014188Z,57,1,200000000057,13,микрорайон,мкр.,3-й микрорайон
480,2020-09-03T10:26:20.338Z,2022-11-15T12:48:30.127867Z,61,1,200000000061,13,микрорайон,мкр.,4-й микрорайон
1472,2020-09-03T10:26:20.482Z,2022-11-15T12:50:52.976023Z,1232,1,200000001232,13,микрорайон,мкр.,5-й микрорайон
481,2020-09-03T10:26:20.338Z,2022-11-15T12:48:31.272572Z,62,1,200000000062,13,микрорайон,мкр.,6-й микрорайон
934,2020-09-03T10:26:20.409Z,2020-09-03T10:26:20.409Z,247,1,200000000247,6,улица,ул.,6 Линия
1051,2020-09-03T10:26:20.446Z,2022-11-15T12:48:31.358028Z,315,1,200000000315,13,микрорайон,мкр.,8-й микрорайон
1180,2020-09-03T10:26:20.446Z,2020-09-03T10:26:20.446Z,525,1,200000000525,6,улица,ул.,8 Линия
484,2020-09-03T10:26:20.338Z,2022-11-15T12:48:31.552561Z,66,1,200000000066,13,микрорайон,мкр.,9-й микрорайон
281,2020-09-03T10:26:20.338Z,2020-09-03T10:26:20.338Z,7222,1,200000007222,6,улица,ул.,LTE4FIX
1522,2020-09-03T10:26:20.482Z,2020-09-03T10:26:20.482Z,632,1,200000000632,6,улица,ул.,TSTTS
119,2020-09-03T10:26:20.302Z,2020-09-03T10:26:20.302Z,5811,1,200000005811,6,улица,ул.,TSTTSWIFI
1922,2022-11-15T12:51:24.681072Z,2022-11-15T12:51:24.680726Z,9566,1,200000009566,13,микрорайон,мкр.,"Абай, ул. Алтын Орда"
918,2020-09-03T10:26:20.409Z,2020-09-03T10:26:20.409Z,231,1,200000000231,8,проспект,просп.,Абая
1028,2020-09-03T10:26:20.446Z,2020-09-03T10:26:20.446Z,290,1,200000000290,6,улица,ул.,Абдуллиных
412,2020-09-03T10:26:20.338Z,2020-09-03T10:26:20.338Z,8244,1,200000008244,6,улица,ул.,Абиша Кекилбайулы
389,2020-09-03T10:26:20.338Z,2020-09-03T10:26:20.338Z,7863,1,200000007863,6,улица,ул.,Абишева
923,2020-09-03T10:26:20.409Z,2020-09-03T10:26:20.409Z,236,1,200000000236,8,проспект,просп.,Абылай Хана
898,2020-09-03T10:26:20.409Z,2022-11-15T12:48:19.505788Z,210,1,200000000210,6,улица,ул.,Айманова
987,2020-09-03T10:26:20.409Z,2020-09-03T10:26:20.409Z,402,1,200000000402,13,микрорайон,мкр.,Айнабулак 1
988,2020-09-03T10:26:20.409Z,2020-09-03T10:26:20.409Z,403,1,200000000403,13,микрорайон,мкр.,Айнабулак 2
989,2020-09-03T10:26:20.409Z,2020-09-03T10:26:20.409Z,404,1,200000000404,13,микрорайон,мкр.,Айнабулак 3
990,2020-09-03T10:26:20.409Z,2020-09-03T10:26:20.409Z,405,1,200000000405,13,микрорайон,мкр.,Айнабулак 4
449,2020-09-03T10:26:20.338Z,2020-09-03T10:26:20.338Z,1,1,200000000001,6,улица,ул.,Айтеке би
922,2020-09-03T10:26:20.409Z,2020-09-03T10:26:20.409Z,235,1,200000000235,6,улица,ул.,Айтиева
753,2020-09-03T10:26:20.374Z,2020-09-03T10:26:20.374Z,666,1,200000000666,6,улица,ул.,Акан Серы
174,2020-09-03T10:26:20.302Z,2020-09-03T10:26:20.302Z,5922,1,200000005922,13,микрорайон,мкр.,Акбулак
2685,2024-11-08T05:02:05.055489Z,2024-11-08T05:02:05.055314Z,50714,1,200000050714,13,микрорайон,мкр.,"Акбулак, ул.Аханова"
2701,2024-11-08T05:06:42.988232Z,2024-11-08T05:06:42.987959Z,50730,1,200000050730,13,микрорайон,мкр.,"Акбулак, ул. Байконырова"
2683,2024-11-08T05:02:03.404351Z,2024-11-08T05:02:03.403536Z,50712,1,200000050712,13,микрорайон,мкр.,"Акбулак, ул. Бичурина"
2703,2024-11-08T05:09:20.892146Z,2024-11-08T05:09:20.891854Z,50732,1,200000050732,13,микрорайон,мкр.,"Акбулак, ул. Даулетгалиева"
2687,2024-11-08T05:02:08.317876Z,2024-11-08T05:02:08.317588Z,50716,1,200000050716,13,микрорайон,мкр.,"Акбулак, ул.Егиндыбулак"
2693,2024-11-08T05:03:41.698574Z,2024-11-08T05:03:41.698316Z,50722,1,200000050722,13,микрорайон,мкр.,"Акбулак, ул. Еспаева"
2684,2024-11-08T05:02:03.753291Z,2024-11-08T05:02:03.752869Z,50713,1,200000050713,13,микрорайон,мкр.,"Акбулак, ул. Жандилдина"
2692,2024-11-08T05:03:35.331088Z,2024-11-08T05:03:35.330812Z,50721,1,200000050721,13,микрорайон,мкр.,"Акбулак, ул. Карсакбаева"
2690,2024-11-08T05:02:09.899663Z,2024-11-08T05:02:09.899366Z,50719,1,200000050719,13,микрорайон,мкр.,"Акбулак, ул. Мамутова"
2697,2024-11-08T05:06:15.710361Z,2024-11-08T05:06:15.709732Z,50726,1,200000050726,13,микрорайон,мкр.,"Акбулак, ул. Мукаева"
2686,2024-11-08T05:02:07.388422Z,2024-11-08T05:02:07.387950Z,50715,1,200000050715,13,микрорайон,мкр.,"Акбулак, ул.Нурмаханова"
2702,2024-11-08T05:09:19.813560Z,2024-11-08T05:09:19.813285Z,50731,1,200000050731,13,микрорайон,мкр.,"Акбулак, ул. Отейбойдака"
2698,2024-11-08T05:06:42.256585Z,2024-11-08T05:06:42.252314Z,50727,1,200000050727,13,микрорайон,мкр.,"Акбулак, ул. Рустемова"
2695,2024-11-08T05:04:54.861101Z,2024-11-08T05:04:54.860839Z,50724,1,200000050724,13,микрорайон,мкр.,"Акбулак, ул. Самади"
2694,2024-11-08T05:04:54.767685Z,2024-11-08T05:04:54.767373Z,50723,1,200000050723,13,микрорайон,мкр.,"Акбулак, ул. Сарытогай"
2689,2024-11-08T05:02:09.769992Z,2024-11-08T05:02:09.769721Z,50718,1,200000050718,13,микрорайон,мкр.,"Акбулак, ул.Сейдоллы Байтерекова"
2691,2024-11-08T05:02:09.996679Z,2024-11-08T05:02:09.996398Z,50720,1,200000050720,13,микрорайон,мкр.,"Акбулак, ул.Сергазина"
2103,2024-03-28T06:07:56.616130Z,2024-03-28T06:07:56.615703Z,50136,1,200000050136,13,микрорайон,мкр.,"Акбулак, ул. Суатколь"
2696,2024-11-08T05:05:26.402702Z,2024-11-08T05:05:26.402226Z,50725,1,200000050725,13,микрорайон,мкр.,"Акбулак, ул. Сулейменова"
2700,2024-11-08T05:06:42.903257Z,2024-11-08T05:06:42.902940Z,50729,1,200000050729,13,микрорайон,мкр.,"Акбулак, ул. Томанова"
2688,2024-11-08T05:02:09.370850Z,2024-11-08T05:02:09.370444Z,50717,1,200000050717,13,микрорайон,мкр.,"Акбулак, ул.Туякберди Шамелова"
2699,2024-11-08T05:06:42.410329Z,2024-11-08T05:06:42.410121Z,50728,1,200000050728,13,микрорайон,мкр.,"Акбулак, ул. Шарипканова"
175,2020-09-03T10:26:20.302Z,2020-09-03T10:26:20.302Z,5923,1,200000005923,13,микрорайон,мкр.,Аккент
453,2020-09-03T10:26:20.338Z,2020-09-03T10:26:20.338Z,26,1,200000000026,13,микрорайон,мкр.,Аксай 1
497,2020-09-03T10:26:20.338Z,2020-09-03T10:26:20.338Z,74,1,200000000074,13,микрорайон,мкр.,Аксай 1а
454,2020-09-03T10:26:20.338Z,2020-09-03T10:26:20.338Z,27,1,200000000027,13,микрорайон,мкр.,Аксай 2
488,2020-09-03T10:26:20.338Z,2020-09-03T10:26:20.338Z,75,1,200000000075,13,микрорайон,мкр.,Аксай 3
489,2020-09-03T10:26:20.338Z,2020-09-03T10:26:20.338Z,76,1,200000000076,13,микрорайон,мкр.,Аксай 3а
490,2020-09-03T10:26:20.338Z,2020-09-03T10:26:20.338Z,77,1,200000000077,13,микрорайон,мкр.,Аксай 3б
3281,2024-12-30T15:11:19.276447Z,2024-12-30T15:11:19.276259Z,51310,1,200000051310,13,микрорайон,мкр.,"Аксай-3Б, ул. Сейхун"
3282,2024-12-30T15:13:30.784447Z,2024-12-30T15:13:30.784248Z,51311,1,200000051311,13,микрорайон,мкр.,"Аксай-3Б, ул. Ташкентская"
447,2020-09-03T10:26:20.338Z,2022-11-19T19:15:24.636652Z,20,1,200000000020,13,микрорайон,мкр.,Аксай 4
478,2020-09-03T10:26:20.338Z,2020-09-03T10:26:20.338Z,58,1,200000000058,13,микрорайон,мкр.,Аксай 5
3946,2025-03-31T10:58:53.973439Z,2025-03-31T10:58:53.973238Z,51976,1,200000051976,6,улица,ул.,Акселеу Сейдимбека
339,2020-09-03T10:26:20.338Z,2020-09-03T10:26:20.338Z,7401,1,200000007401,13,микрорайон,мкр.,Актобе
213,2020-09-03T10:26:20.302Z,2025-03-17T06:57:47.384765Z,6221,1,200000006221,13,микрорайон,мкр.,"Актобе, улица Алма"
