street_id,street_name,house,sub_house,is_available,full_address,latitude,longitude,gis_full_name,provider
315,микрорайон 8-й микрорайон,57,,1,"Алматы г., микрорайон 8-й микрорайон, 57",43.225708,76.873045,"Алматы, 8-й микрорайон, 57",beeline
403,микрорайон Айнабулак 2,32/2,,1,"Алматы г., микрорайон Айнабулак 2, 32/2",43.314317,76.908845,"Алматы, Айнабулак 2 микрорайон, 32/2",beeline
403,микрорайон Айнабулак 2,33,,1,"Алматы г., микрорайон Айнабулак 2, 33",43.314206,76.910045,"Алматы, Айнабулак 2 микрорайон, 33",beeline
403,микрорайон Айнабулак 2,34,,1,"Алматы г., микрорайон Айнабулак 2, 34",43.314414,76.910132,"Алматы, Айнабулак 2 микрорайон, 34",beeline
403,микрорайон Айнабулак 2,35,,1,"Алматы г., микрорайон Айнабулак 2, 35",43.314676,76.910284,"Алматы, Айнабулак 2 микрорайон, 35",beeline
403,микрорайон Айнабулак 2,37,,1,"Алматы г., микрорайон Айнабулак 2, 37",43.314271,76.910615,"Алматы, Айнабулак 2 микрорайон, 37",beeline
403,микрорайон Айнабулак 2,38,,1,"Алматы г., микрорайон Айнабулак 2, 38",43.313589,76.910648,"Алматы, Айнабулак 2 микрорайон, 38",beeline
403,микрорайон Айнабулак 2,39,,1,"Алматы г., микрорайон Айнабулак 2, 39",43.314125,76.911131,"Алматы, Айнабулак 2 микрорайон, 39",beeline
403,микрорайон Айнабулак 2,40,,1,"Алматы г., микрорайон Айнабулак 2, 40",43.313403,76.911024,"Алматы, Айнабулак 2 микрорайон, 40",beeline
403,микрорайон Айнабулак 2,40а,,1,"Алматы г., микрорайон Айнабулак 2, 40а",43.312809,76.912094,"Алматы, Айна, жилой комплекс",beeline
403,микрорайон Айнабулак 2,41,,1,"Алматы г., микрорайон Айнабулак 2, 41",43.313925,76.91176,"Алматы, Айнабулак 2 микрорайон, 41",beeline
403,микрорайон Айнабулак 2,42,,1,"Алматы г., микрорайон Айнабулак 2, 42",43.314369,76.911689,"Алматы, Айнабулак 2 микрорайон, 42",beeline
403,микрорайон Айнабулак 2,42а,,1,"Алматы г., микрорайон Айнабулак 2, 42а",43.314817,76.912149,"Алматы, Айнабулак 2 микрорайон, 42а",beeline
403,микрорайон Айнабулак 2,45,,1,"Алматы г., микрорайон Айнабулак 2, 45",43.316387,76.911014,"Алматы, Айнабулак 2 микрорайон, 45",beeline
403,микрорайон Айнабулак 2,46,,1,"Алматы г., микрорайон Айнабулак 2, 46",43.316844,76.911402,"Алматы, Айнабулак 2 микрорайон, 46",beeline
403,микрорайон Айнабулак 2,47,,1,"Алматы г., микрорайон Айнабулак 2, 47",43.316078,76.911493,"Алматы, Айнабулак 2 микрорайон, 47",beeline
403,микрорайон Айнабулак 2,48,,1,"Алматы г., микрорайон Айнабулак 2, 48",43.316535,76.911882,"Алматы, Айнабулак 2 микрорайон, 48",beeline
403,микрорайон Айнабулак 2,49,,1,"Алматы г., микрорайон Айнабулак 2, 49",43.316083,76.912285,"Алматы, Айнабулак 2 микрорайон, 49",beeline
