id,parent_id,type,name,tree,path
1,,region,Карагандинская область,Карагандинская область,Карагандинская область
2,1.0,district,г.Караганда,  г.Караганда,Карагандинская область > г.Караганда
3,2.0,town,г.Караганда,    г.Караганда,Карагандинская область > г.Караганда > г.Караганда
4,3.0,street,учетный квартал 108,      учетный квартал 108,Карагандинская область > г.Караганда > г.Караганда > учетный квартал 108
5,3.0,street,ЕРУБАЕВА,      ЕРУБАЕВА,Карагандинская область > г.Караганда > г.Караганда > ЕРУБАЕВА
6,3.0,street,99АРХИВ_КЛУБНАЯ,      99АРХИВ_КЛУБНАЯ,Карагандинская область > г.Караганда > г.Караганда > 99АРХИВ_КЛУБНАЯ
7,3.0,street,КОНСТРУКТОРСКАЯ,      КОНСТРУКТОРСКАЯ,Карагандинская область > г.Караганда > г.Караганда > КОНСТРУКТОРСКАЯ
8,3.0,street,КОРОЛЕНКО,      КОРОЛЕНКО,Карагандинская область > г.Караганда > г.Караганда > КОРОЛЕНКО
9,3.0,street,КОЦЮБИНСКОГО,      КОЦЮБИНСКОГО,Карагандинская область > г.Караганда > г.Караганда > КОЦЮБИНСКОГО
10,3.0,street,99АРХИВ_КРИВОРОЖСКАЯ,      99АРХИВ_КРИВОРОЖСКАЯ,Карагандинская область > г.Караганда > г.Караганда > 99АРХИВ_КРИВОРОЖСКАЯ
11,3.0,street,КРЫЛОВА,      КРЫЛОВА,Карагандинская область > г.Караганда > г.Караганда > КРЫЛОВА
12,3.0,street,КВАРТАЛЬНЫЙ,      КВАРТАЛЬНЫЙ,Карагандинская область > г.Караганда > г.Караганда > КВАРТАЛЬНЫЙ
13,3.0,street,КОПЕРНИКА,      КОПЕРНИКА,Карагандинская область > г.Караганда > г.Караганда > КОПЕРНИКА
14,3.0,street,КУЗНЕЧНЫЙ,      КУЗНЕЧНЫЙ,Карагандинская область > г.Караганда > г.Караганда > КУЗНЕЧНЫЙ
15,3.0,street,99АРХИВ_ЛАЗУРНАЯ,      99АРХИВ_ЛАЗУРНАЯ,Карагандинская область > г.Караганда > г.Караганда > 99АРХИВ_ЛАЗУРНАЯ
16,3.0,street,ЛИПЕЦКАЯ,      ЛИПЕЦКАЯ,Карагандинская область > г.Караганда > г.Караганда > ЛИПЕЦКАЯ
17,3.0,street,ЛОКОМОТИВНАЯ,      ЛОКОМОТИВНАЯ,Карагандинская область > г.Караганда > г.Караганда > ЛОКОМОТИВНАЯ
