id,parent_id,type,name,original_id,full_address,coordX,coordY
1,,region,Карагандинская область,1,Карагандинская область,,
2,1.0,district,г.Караганда,84,"Карагандинская область, г.Караганда",,
3,2.0,town,г.Караганда,5792,"Карагандинская область, г.Караганда, г.Караганда",,
4,3.0,street,99АРХИВ_731,88766,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_731",,
5,3.0,street,737,88086,"Карагандинская область, г.Караганда, г.Караганда, 737",,
6,3.0,street,99АРХИВ_727,88089,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_727",,
7,3.0,street,721,88999,"Карагандинская область, г.Караганда, г.Караганда, 721",,
8,3.0,street,99АРХИВ_724,89777,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_724",,
9,3.0,street,711,89240,"Карагандинская область, г.Караганда, г.Караганда, 711",,
10,3.0,street,99АРХИВ_735,88600,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_735",,
11,3.0,street,"1, ул. Муканова",95792,"Карагандинская область, г.Караганда, г.Караганда, 1, ул. Муканова",,
12,3.0,street,"55, ул. Муканова",95793,"Карагандинская область, г.Караганда, г.Караганда, 55, ул. Муканова",,
13,3.0,street,"43, ул. Муканова",106936,"Карагандинская область, г.Караганда, г.Караганда, 43, ул. Муканова",,
14,3.0,street,КВАРТАЛЬНЫЙ,86496,"Карагандинская область, г.Караганда, г.Караганда, КВАРТАЛЬНЫЙ",,
15,3.0,street,КОПЕРНИКА,86497,"Карагандинская область, г.Караганда, г.Караганда, КОПЕРНИКА",,
16,3.0,street,КУЗНЕЧНЫЙ,86498,"Карагандинская область, г.Караганда, г.Караганда, КУЗНЕЧНЫЙ",,
17,3.0,street,ПРОТОЧНЫЙ,86537,"Карагандинская область, г.Караганда, г.Караганда, ПРОТОЧНЫЙ",,
18,3.0,street,ПУТЕВОЙ,86538,"Карагандинская область, г.Караганда, г.Караганда, ПУТЕВОЙ",,
19,3.0,street,РЫЛЕЕВА,86548,"Карагандинская область, г.Караганда, г.Караганда, РЫЛЕЕВА",,
20,3.0,street,99АРХИВ_УГОЛЬНЫЙ,86570,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_УГОЛЬНЫЙ",,
21,3.0,street,УРАНОВЫЙ,86572,"Карагандинская область, г.Караганда, г.Караганда, УРАНОВЫЙ",,
22,3.0,street,99АРХИВ_ЧАЙКОВСКОГО,86580,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_ЧАЙКОВСКОГО",,
23,3.0,street,АВАНГАРДНЫЙ,86596,"Карагандинская область, г.Караганда, г.Караганда, АВАНГАРДНЫЙ",,
24,3.0,street,РЯДОВОЙ,86599,"Карагандинская область, г.Караганда, г.Караганда, РЯДОВОЙ",,
25,3.0,street,ЧУСОВСКОЙ,86603,"Карагандинская область, г.Караганда, г.Караганда, ЧУСОВСКОЙ",,
26,3.0,street,99АРХИВ_САНТЕХНИЧЕСКИЙ,86609,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_САНТЕХНИЧЕСКИЙ",,
27,3.0,street,ВОЛЖСКИЙ,86460,"Карагандинская область, г.Караганда, г.Караганда, ВОЛЖСКИЙ",,
28,3.0,street,ДОБРОВОЛЬНЫЙ,86468,"Карагандинская область, г.Караганда, г.Караганда, ДОБРОВОЛЬНЫЙ",,
29,3.0,street,99АРХИВ_ДАЧНЫЙ,86471,"Карагандинская область, г.Караганда, г.Караганда, 99АРХИВ_ДАЧНЫЙ",,
30,3.0,street,ИНЕРТНЫЙ,86480,"Карагандинская область, г.Караганда, г.Караганда, ИНЕРТНЫЙ",,
31,3.0,street,КАМСКИЙ,86481,"Карагандинская область, г.Караганда, г.Караганда, КАМСКИЙ",,
32,3.0,street,КАРАБАССКИЙ,86482,"Карагандинская область, г.Караганда, г.Караганда, КАРАБАССКИЙ",,
33,3.0,street,ТОПАРСКИЙ,88729,"Карагандинская область, г.Караганда, г.Караганда, ТОПАРСКИЙ",,
34,3.0,street,УЧЕНИЧЕСКИЙ,88736,"Карагандинская область, г.Караганда, г.Караганда, УЧЕНИЧЕСКИЙ",,
